int,mfg,family,ver,fw
SAS,Fujitsu,AL10LX,,D305
SAS,Fujitsu,AL10LX,,D306
SAS,Fujitsu,AL10SE,,D406
SAS,Fujitsu,AL10SE,,D407
SAS,Fujitsu,AL10SX,,D505
SAS,Fujitsu,AL10SX,,D506
SAS,Fujitsu,AL11SE,,D809
SAS,Fujitsu,AL11SE,,D80A
SAS,Fujitsu,AL11SX,,D905
SAS,Fujitsu,AL11SX,,D906
SAS,HGST,Aries HC8,,GK23
SAS,HGST,Aries KP,,KJ43
SAS,HGST,Aries KP,,KU27
SAS,HGST,Aries KP,,KU43
SAS,HGST,Aries KP MLK,,APDAKK34
SAS,HGST,Aries KP MLK,,KK43
SAS,HGST,Bear Cove,,BCDLP172
SAS,HGST,Bear Cove,,J158
SAS,HGST,Bear Cove Plus,,BPDLK909
SAS,HGST,Bear Cove Plus,,K953
SAS,HGST,Bear Cove Plus,,K95D
SAS,HGST,Cobra d,,A440
SAS,HGST,Cobra E,,N440
SAS,HGST,cobra EP,,CPDLU850
SAS,HGST,cobra EP,,U5E2
SAS,HGST,Cobra F,,C4DAFK38
SAS,HGST,Cobra F,,CFDAFJ34
SAS,HGST,Cobra F,,CFDAFJ38
SAS,HGST,Cobra F,,CFDAFU38
SAS,HGST,Cobra B,,A300
SAS,HGST,Cobra B,,C4C2
SAS,HGST,Cobra B,,C590
SAS,HGST,Cobra C,,J350
SAS,HGST,Cobra C,,J516
SAS,HGST,Gemini K,,GK0SAJ0A
SAS,HGST,King Cobra,,K774
SAS,HGST,King Cobra C,,K774
SAS,HGST,King Cobra F,,EJ06
SAS,HGST,King Cobra F,,EJ24
SAS,HGST,King Cobra F,,EK23
SAS,HGST,King Cobra F,,K4DAEK38
SAS,HGST,King Cobra F,,KFDAEJ38
SAS,HGST,King Cobra F,,KFDAEU38
SAS,HGST,Leo-A He12,,LEDANS01
SAS,HGST,Leo-A He12,,NM02
SAS,HGST,Leo-A He12,,NM05
SAS,HGST,Leo-A He12,,NM07
SAS,HGST,Leo-A He12,,NS05
SAS,HGST,Leo-A He12,,NS06
SAS,HGST,Leo-A He12,,NS07
SAS,HGST,Leo-B,,SS03
SAS,HGST,Leo-B,,SS04
SAS,HGST,Leo-B,,SS05
SAS,HGST,Libra He10,,LHDALS14
SAS,HGST,Libra He10,,LS03
SAS,HGST,Libra He10,,LS15
SAS,HGST,Libra He10,,LS17
SAS,HGST,Libra He10,,LS18
SAS,HGST,Libra He10,,LS19
SAS,HGST,Mars K,,M440
SAS,HGST,Mars KP,,W2F0
SAS,HGST,Sunset Cove,,H1D6
SAS,HGST,Sunset Cove,,SPDLL384
SAS,HGST,Sunset Cove Plus MU FIPS,,SPDLK326
SAS,HGST,Vela A,,PS03
SAS,HGST,Vela A,,PS04
SAS,HGST,Vela A,,PS05
SAS,HGST,Vela A,,PU03
SAS,HGST,Vela A,,PU04
SAS,HGST,Vela A,,PU05
SAS,HGST,Vela A,,VLDAPU01
SAS,HGST,Vela AP,,RS03
SAS,HGST,Vela AP,,RS04
SAS,HGST,Vela AP,,RS05
SAS,HGST,Viper C,,E820
SAS,HGST,Viper B,,A280
SAS,HGST,Viper B,,A4C2
SAS,HGST,Viper B,,A598
SAS,HGST,Viper BP,300GB,B522
SAS,HGST,Viper BP,300GB,B590
SAS,HGST,Viper BP,300GB,B598
SAS,HGST,Viper BP,400GB,D522
SAS,HGST,Viper BP,400GB,D590
SAS,HGST,Viper BP,400GB,D598
SAS,Samsung,PM1633a,,DSL8
SAS,Samsung,PM1633a,,DSLA
SAS,Samsung,PM1635a,,DWLA
SAS,Samsung,PM1643,,DSF4
SAS,Samsung,PM1643,,DSF8
SAS,Samsung,PM1643a,,DSA3
SAS,Samsung,PM1645,,DWF4
SAS,Samsung,PM1645,,DWF8
SAS,Samsung,PM1645a,,DWA3
SAS,Samsung,SM883,,HF57
SAS,Sandisk,Everest,,D339
SAS,Sandisk,Kilimanjaro,,D416
SAS,Sandisk,Kilimanjaro,,D417
SAS,Seagate,15K5,,S517
SAS,Seagate,15K5,,S519
SAS,Seagate,15K5,,S51A
SAS,Seagate,15K5,,S527
SAS,Seagate,15K5,,S52C
SAS,Seagate,15K6,,HS0A
SAS,Seagate,15K6,,HS0F
SAS,Seagate,15K6,,HS11
SAS,Seagate,Airwalker,,AS0B
SAS,Seagate,Airwalker,,ASFE
SAS,Seagate,Avenger,,NS02
SAS,Seagate,Avenger,,NS29
SAS,Seagate,Avenger,,NSF2
SAS,Seagate,Avenger,,SEAGATE_AVENGER_NT72
SAS,Seagate,Cimarron,,CSD3
SAS,Seagate,Cimarron,,CSD7
SAS,Seagate,Cimarron,,CSF7
SAS,Seagate,Cimarron,,CSF9
SAS,Seagate,Cimarron,,CSJ3
SAS,Seagate,Cimarron,,CSJ7
SAS,Seagate,Cimarron,,CSL7
SAS,Seagate,Cimarron,,CSL9
SAS,Seagate,Cimarron,,CSN9
SAS,Seagate,Compass,,CS09
SAS,Seagate,Compass,,CSFB
SAS,Seagate,Dragonfly,,DS65
SAS,Seagate,Dragonfly,,DS66
SAS,Seagate,Eagle,,EH04
SAS,Seagate,Eagle,,ES68
SAS,Seagate,Eagle,,ESF7
SAS,Seagate,Eagle RP,,ER65
SAS,Seagate,Eagle RP,,ER66
SAS,Seagate,Evans,,ESL3
SAS,Seagate,Firebird,,S22C
SAS,Seagate,Firebird,,S22F
SAS,Seagate,Firefly,,FS65
SAS,Seagate,Firefly,,FS66
SAS,Seagate,Firestorm,,FM0C
SAS,Seagate,Firestorm,,FMF5
SAS,Seagate,Hornet,,HT04
SAS,Seagate,Hornet,,HT66
SAS,Seagate,Hornet,146GB,HT65
SAS,Seagate,Hornet,73GB,HT65
SAS,Seagate,Ironman,,IS06
SAS,Seagate,Ironman,,ISF5
SAS,Seagate,Kestrel,,KSC9
SAS,Seagate,Kestrel,,KT3A
SAS,Seagate,Kestrel,,KT5A
SAS,Seagate,Kestrel,,KT79
